TicType,Industry,Sector,Ticker,Name,id,parent,mktCap,Brokers,ret_1M,vol_1M,ret_3M,vol_3M,ret_6M,vol_6M,ret_1Y,vol_1Y,ret_2Y,vol_2Y,ret_3Y,vol_3Y,ret_5Y,vol_5Y
stk,Industrials,Construction and Materials,LSE:TON,Titon Holdings PLC,57116,57100.0,14.2,,0.15930219950226343,0.11241210954137237,0.35663142228245825,0.056778698428531234,0.5645286025269065,0.032353511484795976,0.5178403946432912,0.018338372505057883,0.10884113596845046,0.001022577958999358,-0.3652026828983066,0.0009745016558207647,0.3277652879325752,0.000712944030166518
stk,Industrials,Construction and Materials,LSE:VANL,Van Elle Holdings PLC,57117,57100.0,44.3,2.0,0.12168105674166174,0.08651362478088219,-0.00011227496435728401,0.04786174772029611,0.185369575387204,0.03467289731553981,0.35950192763435784,0.02841123605756853,-0.13672927009285174,0.0013466790163937249,-0.5123765622611292,0.0009961736347870252,-0.5919655134714203,0.0007360747216617094
sec,Industrials,Industrial Transportation,IDX:AXX5020-GBP,Sector - Industrial Goods and Services ,57200,57000.0,0.0,0.0,0.032499493161823656,0.02078826059717663,0.0903978189074881,0.012340382477157654,0.27107568318440145,0.00998213235482311,0.5324897342318478,0.00823058429382045,0.30296414213709544,0.0004887446151442921,0.43811796947780657,0.0005014230492563691,0.6740047342723705,0.0003429090384859377
stk,Basic Materials,Industrial Metals and Mining,LSE:AAZ,Anglo Asian Mining PLC,57201,57200.0,156.1,1.0,-0.03422229592568826,0.08793847921406313,0.07196997121578375,0.07369280449625872,0.07157626049060917,0.05450180012754494,0.5149033703363701,0.039140076413840104,1.0410965478823928,0.0018314888102252817,2.756340816648301,0.0014201482011482276,21.144693571596306,0.0012181650160055253
stk,Industrials,Industrial Engineering,LSE:ABDP,AB Dynamics PLC,57202,57200.0,462.5,7.0,0.11106610651067639,0.09157786293770538,-0.004797224004893796,0.0551239929001335,0.10912761302851837,0.04676184519829395,0.8407620438954198,0.033958595344226905,0.31538828406460073,0.0016637389081120071,1.2427718397431744,0.001236878166242024,4.483004967089778,0.0008302105248835388
stk,Basic Materials,Industrial Metals and Mining,LSE:ACP,Armadale Capital PLC,57203,57200.0,23.2,,0.23751643606669903,0.18324767015326768,0.4778643818828956,0.10025479637617629,0.33814724684143505,0.06459924309350666,1.0202652982520277,0.04875302634271088,2.0866207598520967,0.0023506267303316838,1.4690189481115379,0.0017170964422157545,0.7203929486739598,0.0014817817428386866
stk,Industrials,Industrial Support Services,LSE:AFM,Alpha Financial Markets Consulting PLC,57204,57200.0,274.8,5.0,0.08375967400839324,0.10338880605457879,0.13137783534435243,0.04056612363665972,0.23979723977522172,0.021386999522406802,1.175464555907915,0.01901012333731828,0.0520805677338918,0.0010045393389596748,0.6059792698706596,0.000735437346769396,0.5160321376275532,0.0005315661712185148
stk,Basic Materials,Industrial Metals and Mining,LSE:ALBA,Alba Mineral Resources PLC,57205,57200.0,20.6,,-0.015346687764583922,0.15972809207903751,-0.41274448152543497,0.0840015919515626,-0.3036656595128344,0.07783288370217839,4.8306543525220755,0.08614418737041261,0.36409926924030644,0.003116954010672729,-0.20828506124522306,0.0022700023091515678,-0.041677359558172644,0.0016435765227467258
stk,Basic Materials,Industrial Metals and Mining,LSE:ALS,Altus Strategies PLC,57206,57200.0,57.1,,-0.12886295611882814,0.08963111490377257,-0.08370577649201782,0.06043015703246396,0.21426328733871736,0.05703565316592326,2.0906420876195235,0.05860905833885739,3.06361595178611,0.002073428115256286,0.8373162698741796,0.0014863829981902016,0.3237603195218264,0.0010691538424384762
stk,Basic Materials,Industrial Metals and Mining,LSE:AMC,Amur Minerals Corp,57207,57200.0,20.6,,-0.09524486789878239,0.1184444774113551,-0.12468639989425923,0.09171814636709506,-0.263219449813347,0.08222076119851661,0.5226254830385273,0.06954007285215816,-0.49534200126589556,0.003018756807843539,-0.7289886054342917,0.0022739444692772707,-0.7748635919616693,0.0017595594881598844
stk,Industrials,Industrial Support Services,LSE:ANX,Anexo Group PLC,57208,57200.0,153.7,5.0,-0.00018943281730654515,0.034408572789683164,0.037724751237112386,0.039790481034443166,0.09239151084491448,0.028841350319532,0.23082427050213017,0.02202648888706035,0.12285307431977488,0.0009542988933478576,0.30792818581323234,0.0007025327142868146,0.30792818581323234,0.0005441795005197452
