,id,Change,Close,Date,DollarVolume,mktCap,DollarVolume_wt
0,50000,-0.03374,659.25,2020-04-03,52212.5,65438.5,0.798
685,50000,0.13111,745.61,2020-04-09,121468.1,70716.2,1.718
1370,50000,0.01822,759.27,2020-04-17,123463.2,74239.8,1.663
2055,50000,0.03007,782.15,2020-04-24,142290.0,76236.2,1.866
2740,50000,0.01979,797.65,2020-05-01,173230.7,80023.2,2.165
3425,50000,0.02196,815.11,2020-05-07,102091.8,80440.6,1.269
4110,50000,-0.00772,808.8,2020-05-15,134040.7,81539.1,1.644
4795,50000,0.04238,843.17,2020-05-22,155083.6,83445.2,1.859
5480,50000,0.03816,875.33,2020-05-29,158458.6,86772.9,1.826
6165,50000,0.03249,903.77,2020-06-05,160562.1,89853.1,1.787
6850,50000,-0.04069,866.99,2020-06-12,154946.0,88290.1,1.755
7535,50000,0.02694,890.39,2020-06-19,138771.4,88333.9,1.571
8220,50000,-0.00806,883.14,2020-06-26,127292.1,89118.3,1.428
8905,50000,0.01141,893.22,2020-07-03,121837.4,89239.9,1.365
9590,50000,-0.01224,882.33,2020-07-10,191098.3,88785.7,2.152
10276,50000,-0.00538,877.7,2020-07-17,178761.0,87896.2,2.034
10962,50000,0.00681,883.76,2020-07-24,158354.8,89163.6,1.776
11648,50000,0.00144,885.02,2020-07-31,113393.5,89040.5,1.274
12335,50000,0.05414,932.92,2020-08-07,118575.3,91561.3,1.295
13022,50000,0.01629,948.14,2020-08-14,124946.7,95651.6,1.306
13709,50000,0.00927,956.96,2020-08-21,129925.4,96722.0,1.343
14396,50000,0.00741,964.04,2020-08-28,116564.2,97068.5,1.201
15083,50000,-0.01788,946.81,2020-09-04,95302.6,96599.3,0.987
15771,50000,0.00774,954.09,2020-09-11,116187.1,96216.9,1.208
16459,50000,0.02042,973.52,2020-09-18,139881.1,97830.9,1.43
17147,50000,-0.01971,954.33,2020-09-25,144995.0,95366.7,1.52
17836,50000,0.01094,964.79,2020-10-02,157673.2,96718.0,1.63
18525,50000,0.02621,990.01,2020-10-09,169388.3,98741.6,1.715
19216,50000,-0.01244,977.72,2020-10-16,159319.3,99476.1,1.602
19907,50000,0.00282,980.45,2020-10-23,181732.8,98585.7,1.843
20598,50000,-0.03247,948.6,2020-10-30,156779.9,97118.0,1.614
21289,50000,0.0359,982.72,2020-11-06,137518.7,98010.8,1.403
21980,50000,0.01718,999.62,2020-11-13,199518.8,99856.3,1.998
22671,50000,0.03146,1031.0,2020-11-20,168754.9,102281.0,1.65
23362,50000,0.0077,1039.0,2020-11-27,162986.5,104077.5,1.566
